Cluster,CN,Dementia,MCI
0,8.683068017366136,12.445730824891461,78.8712011577424
1,0.0,84.53333333333333,15.466666666666667
2,66.66666666666666,0.3228410008071025,33.01049233252623
3,0.0,96.0,4.0
